time,latitude,longitude,depth_km,magnitude,event_id_mapped
2021-07-29T07:59:49.050000,55.4375,-162.34766666666667,72.29,2.964,1
2021-07-29T08:58:19.500000,55.62283333333333,-162.25183333333334,-2.93,2.019,10
2021-07-29T09:26:47.840000,55.342166666666664,-160.78883333333334,17.08,1.776,14
2021-07-29T09:28:48.750000,55.27733333333333,-160.64783333333332,48.5,2.752,15
2021-07-29T09:59:13.540000,55.2785,-161.48533333333333,40.12,2.226,22
2021-07-29T10:05:46.490000,55.2545,-161.82316666666668,22.75,1.536,24
2021-07-29T10:06:29.750000,55.35883333333334,-161.763,14.07,1.005,25
2021-07-29T10:13:53.500000,55.29533333333333,-161.085,32.98,1.672,26
2021-07-29T10:20:42.380000,55.37316666666667,-161.89383333333333,3.98,1.79,29
2021-07-29T10:24:42.970000,55.385666666666665,-161.27166666666668,78.89,1.963,31
2021-07-29T10:42:51.440000,55.300666666666665,-161.44,25.28,1.225,34
2021-07-29T10:50:41.080000,54.724833333333336,-161.13416666666666,-2.21,2.075,35
2021-07-29T10:54:33.930000,55.343333333333334,-161.21983333333333,7.64,1.329,36
2021-07-29T11:09:16.960000,55.252833333333335,-160.99,25.68,2.563,39
2021-07-29T08:13:32.960000,55.29116666666667,-161.92833333333334,-0.02,2.151,4
2021-07-29T11:17:07.150000,55.23883333333333,-161.71,3.39,1.887,40
2021-07-29T11:24:01.880000,55.05166666666667,-163.40366666666668,20.21,2.053,41
2021-07-29T12:17:21.390000,55.236333333333334,-161.172,19.95,1.343,45
2021-07-29T12:32:46.860000,55.31466666666667,-161.61133333333333,32.16,1.971,49
2021-07-29T12:52:21.440000,55.410333333333334,-161.792,27.16,2.158,51
2021-07-29T14:02:35.750000,55.23683333333334,-160.48716666666667,7.01,1.482,57
2021-07-29T14:20:42.230000,55.230333333333334,-160.40766666666667,0.01,1.493,60
2021-07-29T08:26:09.250000,55.289833333333334,-161.93916666666667,0.04,2.602,7
2021-07-29T17:00:21.930000,55.30433333333333,-160.8925,38.06,1.961,73
2021-07-29T17:08:14.150000,55.35183333333333,-161.91416666666666,-0.0,1.479,75
2021-07-29T17:28:36.220000,55.37233333333333,-161.79266666666666,-0.13,1.501,77
2021-07-29T19:53:30.070000,55.26916666666666,-160.71566666666666,27.09,1.837,88
2021-07-29T20:31:09.110000,55.2505,-161.253,2.01,2.667,92
