id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DEER..BH,2021-07-29T08:03:37.550000,P,0.692,1.609853825357277e-05,2,0.0014696730047907,20210729T080000_2,2
AV.DEER..BH,2021-07-29T08:16:35.300000,P,0.898,1.8066264601657167e-05,4,0.0014696730047907,20210729T080000_4,4
AV.DEER..BH,2021-07-29T08:26:15.040000,P,0.572,1.3446079719869886e-05,5,0.0014696730047907,20210729T080000_5,5
AV.DEER..BH,2021-07-29T08:41:01.790000,P,0.91,1.1133718544442672e-05,6,0.0014696730047907,20210729T080000_6,6
AV.DEER..BH,2021-07-29T09:08:34.220000,P,0.77,4.143421847402351e-06,8,0.0014696730047907,20210729T080000_8,8
AV.DEER..BH,2021-07-29T09:17:52.500000,P,0.583,5.420014531409834e-06,9,0.0014696730047907,20210729T080000_9,9
AV.DEER..BH,2021-07-29T09:23:38.580000,P,0.686,3.659670255728997e-06,10,0.0014696730047907,20210729T080000_10,10
AV.DEER..BH,2021-07-29T09:36:08.700000,P,0.758,2.8354747882985976e-06,13,0.0014696730047907,20210729T080000_13,13
AV.DEER..BH,2021-07-29T09:44:01.540000,P,0.577,2.324962679267628e-06,15,0.0014696730047907,20210729T080000_15,15
AV.DEER..BH,2021-07-29T09:45:29.940000,P,0.896,1.949630814124248e-06,16,0.0014696730047907,20210729T080000_16,16
AV.DEER..BH,2021-07-29T09:53:06.260000,P,0.697,5.891109594813315e-06,17,0.0014696730047907,20210729T080000_17,17
AV.DEER..BH,2021-07-29T09:54:28.750000,P,0.636,7.507409918616759e-06,18,0.0014696730047907,20210729T080000_18,18
AV.DEER..BH,2021-07-29T09:59:23.350000,P,0.571,6.2390663515543565e-06,19,0.0014696730047907,20210729T080000_19,19
AV.DEER..BH,2021-07-29T10:05:52.630000,P,0.824,2.0809782199648907e-06,21,0.0014696730047907,20210729T080000_21,21
AV.DEER..BH,2021-07-29T10:14:06.980000,P,0.835,2.3580703327752417e-06,22,0.0014696730047907,20210729T080000_22,22
AV.DEER..BH,2021-07-29T10:16:38.080000,P,0.557,1.8070496707878192e-06,23,0.0014696730047907,20210729T080000_23,23
AV.DEER..BH,2021-07-29T10:20:49.550000,P,0.537,1.8176359617427808e-06,25,0.0014696730047907,20210729T080000_25,25
AV.DEER..BH,2021-07-29T10:23:04.080000,P,0.621,1.4859791690469135e-06,26,0.0014696730047907,20210729T080000_26,26
AV.DEER..BH,2021-07-29T10:24:57.780000,P,0.701,1.639011429688253e-06,27,0.0014696730047907,20210729T080000_27,27
AV.DEER..BH,2021-07-29T10:27:41.040000,P,0.718,3.3558690120116808e-06,28,0.0014696730047907,20210729T080000_28,28
